Date,Open,High,Low,Close,Adj Close,Volume,CAGR,annual avg of CAGR over all time,S&P annual CAGR,BRK annual CARG,BRK vs SP500
2001-11-01,47.200001,48.700001,44.200001,46.66,46.66,10290000,8.66%,,,,
2001-12-01,46.700001,50.5,44.799999,50.5,50.5,9975000,8.76%,8.63%,-11.98%,-1.75%,
2002-01-01,49.799999,49.98,47.400002,49.060001,49.060001,9770000,8.43%,,,,
2002-02-01,49.34,49.380001,48,48.5,48.5,6560000,8.52%,,,,
2002-03-01,48.700001,49.799999,45.700001,47.380001,47.380001,12985000,8.64%,,,,
2002-04-01,47.279999,48.799999,46.299999,48.66,48.66,10315000,8.85%,,,,
2002-05-01,48.900002,52.400002,48.200001,49.439999,49.439999,11495000,8.69%,,,,
2002-06-01,49.599998,50.299999,44.299999,44.68,44.68,9085000,8.65%,,,,
2002-07-01,45.220001,47.02,38.5,45.740002,45.740002,21725000,9.23%,,,,
2002-08-01,45.860001,50.299999,45.099998,48.799999,48.799999,12650000,9.19%,,,,
2002-09-01,48.52,50.599998,46.360001,49.299999,49.299999,10880000,8.90%,,,,
2002-10-01,49.400002,49.700001,44.880001,49.200001,49.200001,13770000,8.84%,,,,
2002-11-01,49.200001,50,46.459999,48.220001,48.220001,11100000,8.90%,,,,
2002-12-01,48.799999,48.959999,46.02,48.459999,48.459999,13120000,9.00%,8.82%,-22.27%,-2.19%,
2003-01-01,48.400002,48.740002,44.16,44.48,44.48,13015000,9.09%,,,,
2003-02-01,44.560001,45.48,40.299999,41.299999,41.299999,13245000,9.64%,,,,
2003-03-01,41.799999,46.380001,41.799999,42.740002,42.740002,15930000,10.08%,,,,
2003-04-01,43.34,49.080002,42.82,46.639999,46.639999,17215000,9.91%,,,,
2003-05-01,46.740002,49.490002,46.52,47.48,47.48,13700000,9.49%,,,,
2003-06-01,47.52,50.279999,47.139999,48.599998,48.599998,13085000,9.43%,,,,
2003-07-01,48.700001,49.689999,47.34,48.060001,48.060001,12255000,9.32%,,,,
2003-08-01,48.16,50.990002,47.700001,50.599998,50.599998,12535000,9.44%,,,,
2003-09-01,50.799999,50.880001,49.5,49.919998,49.919998,12590000,9.15%,,,,
2003-10-01,50,52.099998,49.919998,51.849998,51.849998,11445000,9.30%,,,,
2003-11-01,52.040001,56.48,52,56.02,56.02,14255000,9.09%,,,,
2003-12-01,56.200001,56.419998,54.619999,56.299999,56.299999,11730000,8.65%,9.38%,28.72%,17.70%,
2004-01-01,56.299999,60.400002,55.900002,59.619999,59.619999,13700000,8.68%,,,,
2004-02-01,59.619999,63.900002,59.360001,62.66,62.66,12225000,8.36%,,,,
2004-03-01,63.34,63.360001,60.439999,62.220001,62.220001,16620000,8.01%,,,,
2004-04-01,62.200001,63.779999,61.099998,62.380001,62.380001,11880000,8.17%,,,,
2004-05-01,62.5,62.580002,56.599998,59.439999,59.439999,16335000,8.18%,,,,
2004-06-01,59.400002,60.299999,57.48,59.099998,59.099998,11135000,8.56%,,,,
2004-07-01,59.299999,60.52,57.619999,57.880001,57.880001,11805000,8.61%,,,,
2004-08-01,57.599998,58.080002,55.639999,57.880001,57.880001,10810000,8.85%,,,,
2004-09-01,57.900002,58.380001,57.200001,57.419998,57.419998,9125000,8.86%,,,,
2004-10-01,57.599998,57.599998,53.700001,56.080002,56.080002,15035000,8.94%,,,,
2004-11-01,56.060001,57.459999,54.040001,55.599998,55.599998,13960000,9.18%,,,,
2004-12-01,55.599998,59.880001,55.52,58.720001,58.720001,13620000,9.28%,8.64%,10.82%,-1.36%,
2005-01-01,58.720001,60.240002,56.82,59.880001,59.880001,15310000,8.96%,,,,
2005-02-01,59.939999,61.34,59.66,60.299999,60.299999,10510000,8.87%,,,,
2005-03-01,60.32,60.700001,56.099998,57.119999,57.119999,21400000,8.87%,,,,
2005-04-01,56.900002,58.959999,54.66,55.959999,55.959999,20290000,9.33%,,,,
2005-05-01,56.66,57.599998,55,56.200001,56.200001,12780000,9.41%,,,,
2005-06-01,56.459999,56.459999,54.939999,55.669998,55.669998,11150000,9.48%,,,,
2005-07-01,55.799999,56.959999,55.560001,55.639999,55.639999,10615000,9.62%,,,,
2005-08-01,55.939999,56.759998,55,55.52,55.52,14695000,9.66%,,,,
2005-09-01,55.360001,56.32,52.240002,54.619999,54.619999,20000000,9.79%,,,,
2005-10-01,54.619999,56.599998,54.560001,56.299999,56.299999,12900000,9.94%,,,,
2005-11-01,56.299999,60.060001,56.220001,59.099998,59.099998,17225000,9.78%,,,,
2005-12-01,59.279999,60.630001,58.580002,58.709999,58.709999,10035000,9.46%,9.43%,4.79%,1.04%,
2006-01-01,58.5,59.98,58.220001,58.639999,58.639999,11880000,9.61%,,,,
2006-02-01,58.400002,58.599998,57.200001,57.759998,57.759998,9800000,9.68%,,,,
2006-03-01,57.84,60.259998,57.560001,60.240002,60.240002,19920000,9.81%,,,,
2006-04-01,60.200001,60.5,56.779999,59.040001,59.040001,20125000,9.57%,,,,
2006-05-01,59.16,61.98,58.200001,61.380001,61.380001,19995000,9.76%,,,,
2006-06-01,61.459999,61.779999,59.630001,60.860001,60.860001,16290000,9.53%,,,,
2006-07-01,61.299999,61.439999,59.560001,60.939999,60.939999,13740000,9.60%,,,,
2006-08-01,60.939999,64.580002,60.66,64.07,64.07,15875000,9.71%,,,,
2006-09-01,63.860001,64.760002,61.779999,63.48,63.48,12160000,9.41%,,,,
2006-10-01,63.400002,70.459999,63.299999,70.300003,70.300003,17140000,9.52%,,,,
2006-11-01,70.199997,72.559998,68.900002,71.099998,71.099998,17125000,8.80%,,,,
2006-12-01,71.099998,76.5,70.400002,73.32,73.32,18400000,8.75%,9.48%,15.74%,23.71%,
2007-01-01,73.559998,73.720001,70.82,73.349998,73.349998,15665000,8.54%,,,,
2007-02-01,73.43,73.800003,69.199997,70.459999,70.459999,16635000,8.61%,,,,
2007-03-01,70.279999,73.160004,69.860001,72.800003,72.800003,13130000,9.01%,,,,
2007-04-01,72.199997,73.349998,71.720001,72.559998,72.559998,10540000,8.85%,,,,
2007-05-01,72.68,73.589996,71.800003,72.5,72.5,14035000,8.85%,,,,
2007-06-01,72.599998,73,70.760002,72.099998,72.099998,11955000,8.92%,,,,
2007-07-01,72.300003,74.459999,71.160004,72.080002,72.080002,12065000,9.01%,,,,
2007-08-01,71.959999,80,71.599998,77.800003,77.800003,20970000,9.11%,,,,
2007-09-01,77.959999,80,77.620003,79.040001,79.040001,13800000,8.51%,,,,
2007-10-01,79.400002,88.279999,78.980003,88.279999,88.279999,20055000,8.42%,,,,
2007-11-01,88,93.959999,87.339996,93.800003,93.800003,28300000,7.63%,,,,
2007-12-01,94.120003,101.18,87.300003,94.720001,94.720001,26335000,7.13%,8.55%,5.46%,30.85%,
2008-01-01,94.800003,96.980003,83,91,91,27945000,7.12%,,,,
2008-02-01,91.199997,97.160004,89.339996,93.489998,93.489998,17780000,7.49%,,,,
