Company,Ticker,Sector,Dividend Yield,5Y Ann. DPS Growth,DIVCON Score,Q4 2020,Q3 2020,Q2 2020,Q1 2020,S&P 500
Tyson Foods Inc,TSN,Stap.,0.28%,0.35%,57,4,3,4,4,Y
Splunk Inc,SPLK,IT,0.00%,0.00%,,,,,,N
PG&E Corp,PCG,Utilities,0.00%,0.00%,,,,,,N
McCormick & Co Inc/MD,MKC,Stap.,0.14%,0.93%,67.5,5,4,4,4,Y
McCormick & Co Inc/MD,MKC/V,Stap.,0.14%,0.93%,63.75,4,4,,4,Y
Carnival Corp,CCL,Comm.,0.00%,-0.19%,,,,,2,Y
Carnival PLC,CUKPF,Comm.,0.00%,-0.19%,,,,,3,N
Slack Technologies Inc,WORK,IT,0.00%,0.00%,,,,,,N
Old Dominion Freight Line Inc,ODFL,Ind.,0.37%,0.00%,61.5,4,4,4,4,Y
Valero Energy Corp,VLO,Energy,0.69%,0.18%,52,3,3,3,3,Y
DTE Energy Co,DTE,Utilities,0.36%,0.77%,57,4,4,3,4,Y
Kroger Co/The,KR,Stap.,0.23%,0.11%,68.25,5,5,4,4,Y
Zscaler Inc,ZS,IT,0.00%,0.00%,,,,,,N
Wayfair Inc,W,Comm.,0.00%,0.00%,,,,,,N
Edison International,EIX,Utilities,0.42%,0.82%,52.5,3,3,3,3,Y
VeriSign Inc,VRSN,IT,0.00%,0.00%,,,,,,Y
Fortive Corp,FTV,Ind.,0.40%,0.00%,36.75,2,2,2,2,Y
Lennar Corp,LEN,Comm.,0.13%,0.32%,57.75,4,3,3,3,Y
Lennar Corp,LEN/B,Comm.,0.16%,0.32%,55.25,4,3,,4,Y
Keysight Technologies Inc,KEYS,IT,0.00%,0.00%,,,,,,Y
Maxim Integrated Products Inc,MXIM,IT,0.00%,0.44%,,,,4,4,Y
Interactive Brokers Group Inc,IBKR,Fin.,0.66%,0.00%,35.75,2,2,2,2,N
Ameriprise Financial Inc,AMP,Fin.,0.21%,0.96%,58.5,4,4,4,4,Y
FleetCor Technologies Inc,FLT,IT,0.00%,0.00%,,,,,,Y
Baker Hughes Co,BKR,Energy,0.35%,0.11%,27.75,1,1,1,2,Y
ViacomCBS Inc,VIAC,Disc.,0.26%,0.99%,38.25,2,,,,Y
ViacomCBS Inc,VIACA,Disc.,0.25%,0.99%,37,2,,,,Y
First Republic Bank/CA,FRC,Fin.,0.54%,0.61%,59,4,4,4,4,Y
Cerner Corp,CERN,Health,0.11%,0.00%,5.25,3,3,3,2,Y
Arthur J Gallagher & Co,AJG,Fin.,0.15%,0.40%,59.75,4,4,4,4,Y
Coupa Software Inc,COUP,IT,0.00%,0.00%,,,,,,N
CBRE Group Inc,CBRE,RE,0.00%,0.00%,,,,,,Y
PPL Corp,PPL,Utilities,0.59%,0.25%,49.25,3,3,3,3,Y
WW Grainger Inc,GWW,Ind.,0.15%,0.53%,62,4,4,4,5,Y
MarketAxess Holdings Inc,MKTX,Fin.,0.43%,0.25%,69.5,5,5,5,5,Y
